"Structure ID","Total energy [au]"
70,-13488.82713068379
57,-13488.82672115243
40,-13488.825806686593
59,-13488.81753222112
87,-13488.817454777516
12,-13488.758407022251
47,-13488.758137928855
16,-13488.671082228668
96,-13488.670876265687
1,-13488.670742684992
