"Structure ID","Total energy [au]"
47,-32.97531810377
57,-32.97530002574
87,-32.9752215877
70,-32.97522081876
40,-32.97371728457
44,-32.9735545238
20,-32.97339672461
80,-32.97337732289
27,-32.97314049947
39,-32.97267507123
