"Structure ID","Total energy [au]"
87,-32.9756217316
47,-32.97548007812
57,-32.97532178989
40,-32.97502557101
42,-32.97363856316
80,-32.97340137902
12,-32.97299051218
14,-32.97277286629
2,-32.97229741816
98,-32.97092044767
