"Structure ID","Total energy [au]"
88,-71.03449958386
24,-71.03443889243
6,-71.03292132814
55,-71.03265955039
2,-71.03256736975
33,-71.03235676639
81,-71.0301408217
46,-71.02775353702
76,-71.02632566603
82,-71.02488025334
