"Structure ID","Total energy [au]"
57,-32.9756742563
157,-32.9756742563
3,-32.97125653216
103,-32.97125653216
16,-32.97123329097
116,-32.97123329097
1,-32.97121469005
101,-32.97121469005
98,-32.9708116236
198,-32.9708116236
